Energy theoretical(eV),Theoretical amplitude (arbitrary unit),Theoretical derivative (arbitrary unit),Energy lab data (eV),Measured amplitude (arbitrary unit),Measured derivative (arbirary unit)
74.53906517,6.10207331,-0.65650569955539,71,52.1434091396739,-0.643745791847827
74.03726287,6.43150938,-0.718114575553391,70,52.7871549315217,0
73.53865127,6.7895696375,-0.995281366438537,69,52.7871549315217,0
73.03556124,7.29028577,-0.746401448422938,68,52.7871549315217,-1.28749158369565
72.5359116,7.663224985,-0.759946335196033,67,54.0746465152174,-0.643745791847827
72.03597872,8.043147145,-1.13721480511436,66,54.7183923070652,0
71.53593206,8.61180761,-1.07630726140258,65,54.7183923070652,-1.28749158369565
71.03593623,9.1499567525,-1.19365182669776,64,56.0058838907609,-0.643745791847827
70.53615104,9.7465262575,-1.1664470634223,63,56.6496296826087,-1.28749158369565
70.03673143,10.329072795,-1.28272116233463,62,57.9371212663043,-1.93123737554348
69.53436526,10.9734685125,-1.57834041088231,61,59.8683586418478,-1.28749158369565
69.0361749,11.75978249,-1.29864836963289,60,61.1558502255435,-1.28749158369565
68.53542816,12.4100764275,-1.67194294166912,59,62.4433418092391,-1.93123737554347
68.03241625,13.25108364,-1.73470913059258,58,64.3745791847826,-1.93123737554347
67.53393086,14.1158107975,-1.8741762270779,57,66.3058165603261,-1.28749158369565
67.03353659,15.0536378425,-2.16897201632792,56,67.5933081440217,-1.28749158369565
66.53465746,16.135692715,-2.28568694426528,55,68.8807997277174,-0.643745791847834
66.03430515,17.2793414575,-2.08616813544673,54,69.5245455195652,-1.28749158369564
65.5327381,18.325694655,-2.36830862276186,53,70.8120371032609,0
65.03321033,19.50873058,-2.88535559781748,52,70.8120371032609,0
64.53286488,20.952405125,-2.62308897393013,51,70.8120371032609,1.93123737554347
64.03193961,22.2663766775,-3.0684996371649,50,68.8807997277174,0.64374579184782
63.53066513,23.8045372375,-3.32810748471384,49,68.2370539358696,2.57498316739131
63.03207386,25.463902575,-3.19572518913745,48,65.6620707684783,1.93123737554347
